company_name,category,sub_category,country,geography,company_type,event_presence
Catapult Sports,Sports Technology,Wearables & Analytics,Australia,Global,Startup,Sponsor/Exhibitor at major sports events
Hudl,Sports Technology,Video Analysis,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
Stats Perform,Sports Data,Data Analytics,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
Genius Sports,Sports Data,Betting Data,UK,Global,Enterprise,Sponsor/Exhibitor at major sports events
Second Spectrum,Sports Ai,Computer Vision,USA,Global,Startup,Sponsor/Exhibitor at major sports events
Sportradar,Sports Data,Data & Odds,Switzerland,Global,Enterprise,Sponsor/Exhibitor at major sports events
Hawk-Eye Innovations,Sports Technology,Ball Tracking,UK,Global,Enterprise,Sponsor/Exhibitor at major sports events
ChyronHego,Broadcast Tech,Graphics,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
IBM Sports,Technology,AI Analytics,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
SAP Sports,Technology,Team Analytics,Germany,Global,Enterprise,Sponsor/Exhibitor at major sports events
Zebra Technologies,Iot,Player Tracking,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
Kinexon,Sports Iot,Real-time Tracking,Germany,Global,Startup,Sponsor/Exhibitor at major sports events
Nike,Apparel,Sportswear,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
Adidas,Apparel,Sportswear,Germany,Global,Enterprise,Sponsor/Exhibitor at major sports events
Puma,Apparel,Sportswear,Germany,Global,Enterprise,Sponsor/Exhibitor at major sports events
Red Bull,Fmcg,Energy Drinks,Austria,Global,Enterprise,Sponsor/Exhibitor at major sports events
Gatorade,Fmcg,Sports Nutrition,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
Decathlon,Retail,Sports Equipment,France,Global,Enterprise,Sponsor/Exhibitor at major sports events
ESPN,Media,Sports Broadcasting,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
Star Sports,Media,Sports Broadcasting,India,Asia,Enterprise,Sponsor/Exhibitor at major sports events
Sony Sports,Media,Sports Broadcasting,Japan,Asia,Enterprise,Sponsor/Exhibitor at major sports events
DAZN,Streaming,Sports OTT,UK,Global,Startup,Sponsor/Exhibitor at major sports events
FanCode,Streaming,Sports OTT India,India,India,Startup,Sponsor/Exhibitor at major sports events
Ticketmaster,Ticketing,Event Ticketing,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
BookMyShow,Ticketing,Event Ticketing India,India,India,Startup,Sponsor/Exhibitor at major sports events
SeatGeek,Ticketing,Secondary Market,USA,Global,Startup,Sponsor/Exhibitor at major sports events
Dream11,Fantasy Sports,Fantasy Platform,India,India,Unicorn,Sponsor/Exhibitor at major sports events
DraftKings,Fantasy Sports,Daily Fantasy & Betting,USA,Usa,Enterprise,Sponsor/Exhibitor at major sports events
FanDuel,Fantasy Sports,Sports Betting,USA,Usa,Enterprise,Sponsor/Exhibitor at major sports events
MPL,Fantasy Sports,Mobile Premier League,India,India,Startup,Sponsor/Exhibitor at major sports events
Whoop,Wearables,Athletic Performance,USA,Global,Startup,Sponsor/Exhibitor at major sports events
Garmin,Wearables,GPS & Fitness,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
Peloton,Fitness Tech,Connected Fitness,USA,Global,Enterprise,Sponsor/Exhibitor at major sports events
JSW Sports,Sports Management,Multi-sport India,India,India,Enterprise,Sponsor/Exhibitor at major sports events
Baseline Ventures,Sports Marketing,Athlete Management,India,India,Startup,Sponsor/Exhibitor at major sports events
EduSports,Sports Education,School Sports Programs,India,India,Startup,Sponsor/Exhibitor at major sports events
